{'flow_id': 'DATA_F1a_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.012, 'end_time': 0.0129, 'time': 0.8999999999999998}
{'flow_id': 'DATA_F1a_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.012, 'end_time': 0.0129, 'time': 0.8999999999999998}
{'flow_id': 'DATA_F1a_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.012, 'end_time': 0.0129, 'time': 0.8999999999999998}
{'flow_id': 'DATA_F1a_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.012, 'end_time': 0.0129, 'time': 0.8999999999999998}
{'flow_id': 'DATA_F2a_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.024, 'end_time': 0.0249, 'time': 0.899999999999998}
{'flow_id': 'DATA_F2a_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.024, 'end_time': 0.0249, 'time': 0.899999999999998}
{'flow_id': 'DATA_F2a_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.024, 'end_time': 0.0249, 'time': 0.899999999999998}
{'flow_id': 'DATA_F2a_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.024, 'end_time': 0.0249, 'time': 0.899999999999998}
{'flow_id': 'DATA_F3a_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.036000000000000004, 'end_time': 0.03690000000000001, 'time': 0.900000000000005}
{'flow_id': 'DATA_F3a_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.036000000000000004, 'end_time': 0.03690000000000001, 'time': 0.900000000000005}
{'flow_id': 'DATA_F3a_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.036000000000000004, 'end_time': 0.03690000000000001, 'time': 0.900000000000005}
{'flow_id': 'DATA_F3a_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.036000000000000004, 'end_time': 0.03690000000000001, 'time': 0.900000000000005}
{'flow_id': 'DATA_F1a_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.0249, 'end_time': 0.043199999999999995, 'time': 18.299999999999997}
{'flow_id': 'DATA_F1a_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.0249, 'end_time': 0.04719999999999999, 'time': 22.299999999999994}
{'flow_id': 'DATA_F4a_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.048, 'end_time': 0.048900000000000006, 'time': 0.900000000000005}
{'flow_id': 'DATA_F4a_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.048, 'end_time': 0.048900000000000006, 'time': 0.900000000000005}
{'flow_id': 'DATA_F4a_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.048, 'end_time': 0.048900000000000006, 'time': 0.900000000000005}
{'flow_id': 'DATA_F4a_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.048, 'end_time': 0.048900000000000006, 'time': 0.900000000000005}
{'flow_id': 'DATA_F1a_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.0552, 'end_time': 0.056100000000000004, 'time': 0.900000000000005}
{'flow_id': 'DATA_F1a_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.05919999999999999, 'end_time': 0.060099999999999994, 'time': 0.900000000000005}
{'flow_id': 'DATA_F1a_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.0249, 'end_time': 0.07119999999999999, 'time': 46.29999999999999}
{'flow_id': 'DATA_F1a_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.0249, 'end_time': 0.07119999999999999, 'time': 46.29999999999999}
{'flow_id': 'DATA_F2a_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.0369, 'end_time': 0.07264999999999996, 'time': 35.749999999999964}
{'flow_id': 'DATA_F1a_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.08319999999999998, 'end_time': 0.08409999999999998, 'time': 0.899999999999998}
{'flow_id': 'DATA_F1a_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.08319999999999998, 'end_time': 0.08409999999999998, 'time': 0.899999999999998}
{'flow_id': 'DATA_F2a_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.0369, 'end_time': 0.08434999999999998, 'time': 47.44999999999998}
{'flow_id': 'DATA_F1b_DP0_PP3_TP0_Rank12_Rank0', 'start_time': 0.06810000000000001, 'end_time': 0.0864, 'time': 18.299999999999997}
{'flow_id': 'DATA_F3a_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.04890000000000001, 'end_time': 0.08711666666666666, 'time': 38.21666666666665}
{'flow_id': 'DATA_F2a_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.0369, 'end_time': 0.08719999999999999, 'time': 50.29999999999998}
{'flow_id': 'DATA_F2a_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.0369, 'end_time': 0.08719999999999999, 'time': 50.29999999999998}
{'flow_id': 'DATA_F1b_DP3_PP3_TP0_Rank15_Rank3', 'start_time': 0.0721, 'end_time': 0.0904, 'time': 18.299999999999997}
{'flow_id': 'DATA_F3a_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.04890000000000001, 'end_time': 0.0932, 'time': 44.29999999999999}
{'flow_id': 'DATA_F3a_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.04890000000000001, 'end_time': 0.0932, 'time': 44.29999999999999}
{'flow_id': 'DATA_F4a_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.06090000000000001, 'end_time': 0.09349999999999999, 'time': 32.59999999999997}
{'flow_id': 'DATA_F4a_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.06090000000000001, 'end_time': 0.09426666666666665, 'time': 33.36666666666664}
{'flow_id': 'DATA_F2a_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.09519999999999998, 'end_time': 0.09609999999999998, 'time': 0.899999999999998}
{'flow_id': 'DATA_F2a_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.09634999999999998, 'end_time': 0.09724999999999998, 'time': 0.899999999999998}
{'flow_id': 'DATA_F1b_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.0984, 'end_time': 0.0993, 'time': 0.899999999999998}
{'flow_id': 'DATA_F3a_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.09911666666666666, 'end_time': 0.10001666666666666, 'time': 0.899999999999998}
{'flow_id': 'DATA_F2a_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.09919999999999998, 'end_time': 0.10009999999999998, 'time': 0.899999999999998}
{'flow_id': 'DATA_F3a_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.04890000000000001, 'end_time': 0.10035, 'time': 51.44999999999998}
{'flow_id': 'DATA_F4a_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.06090000000000001, 'end_time': 0.10073333333333334, 'time': 39.83333333333333}
{'flow_id': 'DATA_F1b_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.10239999999999999, 'end_time': 0.10329999999999999, 'time': 0.899999999999998}
{'flow_id': 'DATA_F4a_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.06090000000000001, 'end_time': 0.1055, 'time': 44.59999999999999}
{'flow_id': 'DATA_F3a_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.10719999999999998, 'end_time': 0.10809999999999997, 'time': 0.899999999999998}
{'flow_id': 'DATA_F3a_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.10834999999999997, 'end_time': 0.10924999999999997, 'time': 0.899999999999998}
{'flow_id': 'DATA_F2a_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.11111666666666666, 'end_time': 0.11201666666666665, 'time': 0.899999999999998}
{'flow_id': 'DATA_F3a_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.11234999999999999, 'end_time': 0.11324999999999999, 'time': 0.899999999999998}
