flow_id,path_latency(ms),bandwidth(Gbps),flow_size(MB),standard_time(ms)
DATA_F1a_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_F2a_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_F3a_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_F4a_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_F1b_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_F2b_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_F3b_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_F4b_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_F5a_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_F6a_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_F7a_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_B1a_DP0_PP0_TP0_Rank0_Rank12,2.2999999999999994,25,20.0,8.7
DATA_F8a_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_B2a_DP0_PP0_TP0_Rank0_Rank12,2.2999999999999994,25,20.0,8.7
DATA_F5b_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_B3a_DP0_PP0_TP0_Rank0_Rank12,2.2999999999999994,25,20.0,8.7
DATA_F6b_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_B4a_DP0_PP0_TP0_Rank0_Rank12,2.2999999999999994,25,20.0,8.7
DATA_F7b_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_F8b_DP0_PP0_TP0_Rank0_Rank4,0.1,200,20.0,0.9
DATA_B5a_DP0_PP0_TP0_Rank0_Rank12,2.2999999999999994,25,20.0,8.7
DATA_B6a_DP0_PP0_TP0_Rank0_Rank12,2.2999999999999994,25,20.0,8.7
DATA_B7a_DP0_PP0_TP0_Rank0_Rank12,2.2999999999999994,25,20.0,8.7
DATA_B8a_DP0_PP0_TP0_Rank0_Rank12,2.2999999999999994,25,20.0,8.7
DATA0_F999_DP0_PP0_TP0_Rank0_Rank1,0.1,200,7000.0,280.1
DATA1_F999_DP0_PP0_TP0_Rank0_Rank1,0.1,200,7000.0,280.1
DATA2_F999_DP0_PP0_TP0_Rank0_Rank1,0.1,200,7000.0,280.1
DATA3_F999_DP0_PP0_TP0_Rank0_Rank1,0.1,200,7000.0,280.1
DATA4_F999_DP0_PP0_TP0_Rank0_Rank1,0.1,200,7000.0,280.1
DATA5_F999_DP0_PP0_TP0_Rank0_Rank1,0.1,200,7000.0,280.1
DATA_F1a_DP1_PP0_TP0_Rank1_Rank5,0.1,200,20.0,0.9
DATA_F2a_DP1_PP0_TP0_Rank1_Rank5,0.1,200,20.0,0.9
DATA_F3a_DP1_PP0_TP0_Rank1_Rank5,0.1,200,20.0,0.9
DATA_F4a_DP1_PP0_TP0_Rank1_Rank5,0.1,200,20.0,0.9
DATA_F1b_DP1_PP0_TP0_Rank1_Rank5,0.1,200,20.0,0.9
DATA_F2b_DP1_PP0_TP0_Rank1_Rank5,0.1,200,20.0,0.9
DATA_F3b_DP1_PP0_TP0_Rank1_Rank5,0.1,200,20.0,0.9
DATA_F4b_DP1_PP0_TP0_Rank1_Rank5,0.1,200,20.0,0.9
DATA_F5a_DP1_PP0_TP0_Rank1_Rank5,0.1,200,20.0,0.9
DATA_F6a_DP1_PP0_TP0_Rank1_Rank5,0.1,200,20.0,0.9
DATA_F7a_DP1_PP0_TP0_Rank1_Rank5,0.1,200,20.0,0.9
DATA_B1a_DP1_PP0_TP0_Rank1_Rank13,2.2999999999999994,25,20.0,8.7
DATA_F8a_DP1_PP0_TP0_Rank1_Rank5,0.1,200,20.0,0.9
DATA_B2a_DP1_PP0_TP0_Rank1_Rank13,2.2999999999999994,25,20.0,8.7
DATA_F5b_DP1_PP0_TP0_Rank1_Rank5,0.1,200,20.0,0.9
