{'error': 'remaining_size less than 0', 'new_remaining_size': -3.125000000000142, 'time': 0.1728, 'flow_id': 'DATA_B1b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.16539999999999996, 'rate': 25000.0, 'remaining_size': 20.0, 'transferred': 23.125000000000142}
{'error': 'remaining_size less than 0', 'new_remaining_size': -3.125000000000142, 'time': 0.1728, 'flow_id': 'DATA_B1b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.16539999999999996, 'rate': 25000.0, 'remaining_size': 20.0, 'transferred': 23.125000000000142}
{'error': 'remaining_size less than 0', 'new_remaining_size': -3.125000000000142, 'time': 0.1728, 'flow_id': 'DATA_B1b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.16539999999999996, 'rate': 25000.0, 'remaining_size': 20.0, 'transferred': 23.125000000000142}
{'error': 'remaining_size less than 0', 'new_remaining_size': -3.125000000000142, 'time': 0.1728, 'flow_id': 'DATA_B1b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.16539999999999996, 'rate': 25000.0, 'remaining_size': 20.0, 'transferred': 23.125000000000142}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.8124999999999503, 'time': 0.1737, 'flow_id': 'DATA_B1b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.1728, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 2.8124999999999503}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.8124999999999503, 'time': 0.1737, 'flow_id': 'DATA_B1b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.1728, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 2.8124999999999503}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.8124999999999503, 'time': 0.1737, 'flow_id': 'DATA_B1b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.1728, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 2.8124999999999503}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.8124999999999503, 'time': 0.1737, 'flow_id': 'DATA_B1b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.1728, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 2.8124999999999503}
{'error': 'remaining_size less than 0', 'new_remaining_size': -1.2499999999999925, 'time': 0.1745, 'flow_id': 'DATA_B1b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.1737, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 1.2499999999999925}
{'error': 'remaining_size less than 0', 'new_remaining_size': -1.2499999999999925, 'time': 0.1745, 'flow_id': 'DATA_B1b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.1737, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 1.2499999999999925}
{'error': 'remaining_size less than 0', 'new_remaining_size': -1.2499999999999925, 'time': 0.1745, 'flow_id': 'DATA_B1b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.1737, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 1.2499999999999925}
{'error': 'remaining_size less than 0', 'new_remaining_size': -1.2499999999999925, 'time': 0.1745, 'flow_id': 'DATA_B1b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.1737, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 1.2499999999999925}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.9374999999999494, 'time': 0.1865, 'flow_id': 'DATA_F5b_DP2_PP3_TP0_Rank14_Rank2', 'last_begin_time': 0.18239999999999995, 'rate': 12500.0, 'remaining_size': 5.468750000000126, 'transferred': 6.4062500000000755}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.9374999999999494, 'time': 0.1865, 'flow_id': 'DATA_F5b_DP0_PP3_TP0_Rank12_Rank0', 'last_begin_time': 0.18239999999999995, 'rate': 12500.0, 'remaining_size': 5.468750000000126, 'transferred': 6.4062500000000755}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.9374999999999494, 'time': 0.1865, 'flow_id': 'DATA_F5b_DP3_PP3_TP0_Rank15_Rank3', 'last_begin_time': 0.18239999999999995, 'rate': 12500.0, 'remaining_size': 5.468750000000126, 'transferred': 6.4062500000000755}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.9374999999999494, 'time': 0.1865, 'flow_id': 'DATA_F5b_DP1_PP3_TP0_Rank13_Rank1', 'last_begin_time': 0.18239999999999995, 'rate': 12500.0, 'remaining_size': 5.468750000000126, 'transferred': 6.4062500000000755}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.4296875000001119, 'time': 0.2180666666666667, 'flow_id': 'DATA_B4b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.2098416666666666, 'rate': 12500.0, 'remaining_size': 12.421875000000034, 'transferred': 12.851562500000146}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.4296875000001119, 'time': 0.2180666666666667, 'flow_id': 'DATA_B4b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.2098416666666666, 'rate': 12500.0, 'remaining_size': 12.421875000000034, 'transferred': 12.851562500000146}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.4296875000001119, 'time': 0.2180666666666667, 'flow_id': 'DATA_B4b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.2098416666666666, 'rate': 12500.0, 'remaining_size': 12.421875000000034, 'transferred': 12.851562500000146}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.4296875000001119, 'time': 0.2180666666666667, 'flow_id': 'DATA_B4b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.2098416666666666, 'rate': 12500.0, 'remaining_size': 12.421875000000034, 'transferred': 12.851562500000146}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.1432291666666075, 'time': 0.21815833333333332, 'flow_id': 'DATA_B4b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.2180666666666667, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 0.1432291666666075}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.1432291666666075, 'time': 0.21815833333333332, 'flow_id': 'DATA_B4b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.2180666666666667, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 0.1432291666666075}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.1432291666666075, 'time': 0.21815833333333332, 'flow_id': 'DATA_B4b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.2180666666666667, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 0.1432291666666075}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.1432291666666075, 'time': 0.21815833333333332, 'flow_id': 'DATA_B4b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.2180666666666667, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 0.1432291666666075}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.02604166666672, 'time': 0.21976666666666667, 'flow_id': 'DATA_B4b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.21815833333333332, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 5.02604166666672}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.02604166666672, 'time': 0.21976666666666667, 'flow_id': 'DATA_B4b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.21815833333333332, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 5.02604166666672}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.02604166666672, 'time': 0.21976666666666667, 'flow_id': 'DATA_B4b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.21815833333333332, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 5.02604166666672}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.02604166666672, 'time': 0.21976666666666667, 'flow_id': 'DATA_B4b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.21815833333333332, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 5.02604166666672}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.7291666666671581, 'time': 0.23015833333333333, 'flow_id': 'DATA_F8a_DP0_PP0_TP0_Rank0_Rank4', 'last_begin_time': 0.22849999999999995, 'rate': 100000.0, 'remaining_size': 20.0, 'transferred': 20.729166666667158}
{'error': 'remaining_size less than 0', 'new_remaining_size': -3.776041666666478, 'time': 0.23015833333333333, 'flow_id': 'DATA_B1a_DP0_PP0_TP0_Rank0_Rank12', 'last_begin_time': 0.22860000000000016, 'rate': 25000.0, 'remaining_size': 1.0937499999996525, 'transferred': 4.8697916666661305}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.7291666666671581, 'time': 0.23015833333333333, 'flow_id': 'DATA_F8a_DP3_PP0_TP0_Rank3_Rank7', 'last_begin_time': 0.22849999999999995, 'rate': 100000.0, 'remaining_size': 20.0, 'transferred': 20.729166666667158}
