{'error': 'remaining_size less than 0', 'new_remaining_size': -52.49999999999895, 'time': 0.15979999999999994, 'flow_id': 'DATA_F5b_DP1_PP3_TP0_Rank13_Rank1', 'last_begin_time': 0.15689999999999998, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 72.49999999999895}
{'error': 'remaining_size less than 0', 'new_remaining_size': -52.49999999999895, 'time': 0.15979999999999994, 'flow_id': 'DATA_F5b_DP2_PP3_TP0_Rank14_Rank2', 'last_begin_time': 0.15689999999999998, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 72.49999999999895}
{'error': 'remaining_size less than 0', 'new_remaining_size': -52.49999999999895, 'time': 0.15979999999999994, 'flow_id': 'DATA_F5b_DP0_PP3_TP0_Rank12_Rank0', 'last_begin_time': 0.15689999999999998, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 72.49999999999895}
{'error': 'remaining_size less than 0', 'new_remaining_size': -52.49999999999895, 'time': 0.15979999999999994, 'flow_id': 'DATA_F5b_DP3_PP3_TP0_Rank15_Rank3', 'last_begin_time': 0.15689999999999998, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 72.49999999999895}
{'error': 'remaining_size less than 0', 'new_remaining_size': -37.499999999999915, 'time': 0.16209999999999994, 'flow_id': 'DATA_B2b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.15979999999999994, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.499999999999915}
{'error': 'remaining_size less than 0', 'new_remaining_size': -37.499999999999915, 'time': 0.16209999999999994, 'flow_id': 'DATA_B2b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.15979999999999994, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.499999999999915}
{'error': 'remaining_size less than 0', 'new_remaining_size': -37.499999999999915, 'time': 0.16209999999999994, 'flow_id': 'DATA_B2b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.15979999999999994, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.499999999999915}
{'error': 'remaining_size less than 0', 'new_remaining_size': -37.499999999999915, 'time': 0.16209999999999994, 'flow_id': 'DATA_B2b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.15979999999999994, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.499999999999915}
{'error': 'remaining_size less than 0', 'new_remaining_size': -4.999999999998636, 'time': 0.16989999999999994, 'flow_id': 'DATA_F6b_DP1_PP3_TP0_Rank13_Rank1', 'last_begin_time': 0.1689, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 24.999999999998636}
{'error': 'remaining_size less than 0', 'new_remaining_size': -4.999999999998636, 'time': 0.16989999999999994, 'flow_id': 'DATA_F6b_DP2_PP3_TP0_Rank14_Rank2', 'last_begin_time': 0.1689, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 24.999999999998636}
{'error': 'remaining_size less than 0', 'new_remaining_size': -4.999999999998636, 'time': 0.16989999999999994, 'flow_id': 'DATA_F6b_DP3_PP3_TP0_Rank15_Rank3', 'last_begin_time': 0.1689, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 24.999999999998636}
{'error': 'remaining_size less than 0', 'new_remaining_size': -4.999999999998636, 'time': 0.16989999999999994, 'flow_id': 'DATA_F6b_DP0_PP3_TP0_Rank12_Rank0', 'last_begin_time': 0.1689, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 24.999999999998636}
{'error': 'remaining_size less than 0', 'new_remaining_size': -21.24999999999974, 'time': 0.17159999999999992, 'flow_id': 'DATA_F6b_DP3_PP3_TP0_Rank15_Rank3', 'last_begin_time': 0.16989999999999994, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 21.24999999999974}
{'error': 'remaining_size less than 0', 'new_remaining_size': -21.24999999999974, 'time': 0.17159999999999992, 'flow_id': 'DATA_F6b_DP0_PP3_TP0_Rank12_Rank0', 'last_begin_time': 0.16989999999999994, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 21.24999999999974}
{'error': 'remaining_size less than 0', 'new_remaining_size': -21.24999999999974, 'time': 0.17159999999999992, 'flow_id': 'DATA_F6b_DP1_PP3_TP0_Rank13_Rank1', 'last_begin_time': 0.16989999999999994, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 21.24999999999974}
{'error': 'remaining_size less than 0', 'new_remaining_size': -21.24999999999974, 'time': 0.17159999999999992, 'flow_id': 'DATA_F6b_DP2_PP3_TP0_Rank14_Rank2', 'last_begin_time': 0.16989999999999994, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 21.24999999999974}
